week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
38th week,Maharashtra,Washim,Dengue,-0.077413893,0.1855301,14,9,2014,20.28741775,77.2369655,0.390399815,0,-1.172056734
25th week,Maharashtra,Washim,Acute Diarrhoeal Disease,-0.055690277,-0.152088036,12,6,2015,20.28741775,77.2369655,-0.305325077,-1.293901002,1.928496999
14th week,Maharashtra,Washim,Cholera,-0.073580313,-0.152088036,5,4,2016,20.28741775,77.2369655,-0.728496062,0,2.813180259
25th week,Maharashtra,Washim,Acute Gastroenteritis,-0.083803191,0.1855301,23,6,2016,20.28741775,77.2369655,0.53668551,-1.439293252,1.101329503
36th week,Maharashtra,Washim,Chikungunya,-0.083803191,0.1855301,9,9,2016,20.28741775,77.2369655,-0.651759414,1.177767254,-0.987400861
28th week,Maharashtra,Washim,Acute Gastroenteritis,-0.086358911,-0.152088036,26,6,2017,20.28741775,77.2369655,-0.413643154,0,0.696902871
21st week,Maharashtra,Washim,Dengue,-0.105526807,-0.152088036,22,4,2020,20.28741775,77.2369655,-0.740295281,0,2.524087868
32nd week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.109360386,0.1855301,20,7,2011,20.32570375,78.11691397,0.257287267,0,0
18th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.08891463,-0.152088036,1,5,2012,20.32570375,78.11691397,-0.740127039,-1.148508752,3.012669144
19th week,Maharashtra,Yavatmal,Cholera,-0.033966662,-0.152088036,1,5,2012,20.32570375,78.11691397,-0.740127039,-1.148508752,3.012669144
26th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,15,6,2013,20.32570375,78.11691397,3.02367645,-1.003116501,1.316256831
28th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.079969612,-0.152088036,1,7,2013,20.32570375,78.11691397,2.583161258,-1.148508752,0
24th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,27,5,2014,20.32570375,78.11691397,-0.73749762,-1.148508752,2.363649158
26th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.076136033,0.523148237,18,6,2014,20.32570375,78.11691397,-0.662099203,0,1.938335222
29th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,13,7,2014,20.32570375,78.11691397,0.253317992,-1.003116501,0
31st week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.067191015,-0.152088036,26,7,2014,20.32570375,78.11691397,2.558072099,-1.003116501,-0.239695933
25th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.100415368,-0.152088036,12,6,2015,20.32570375,78.11691397,-0.461897166,-1.148508752,1.893684826
26th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.039078101,-0.152088036,15,6,2015,20.32570375,78.11691397,0.157443746,-1.148508752,1.601817542
27th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.094026069,-0.152088036,20,6,2015,20.32570375,78.11691397,0.587946993,-1.148508752,1.258741067
28th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.099137508,-0.152088036,24,6,2015,20.32570375,78.11691397,5.042438763,-1.148508752,0
17th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.097859648,-0.152088036,21,4,2016,20.32570375,78.11691397,-0.733968455,0,3.051820215
23rd week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.100415368,-0.152088036,6,6,2016,20.32570375,78.11691397,-0.734760117,-1.293901002,2.302601715
28th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,12,7,2016,20.32570375,78.11691397,5.63243345,-1.003116501,0
31st week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.106804666,0.1855301,29,7,2016,20.32570375,78.11691397,0.576433397,-0.857724251,-0.363808897
35th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.100415368,0.1855301,24,8,2016,20.32570375,78.11691397,-0.603181108,0.305413752,0.010043567
37th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.086358911,0.1855301,13,9,2016,20.32570375,78.11691397,-0.562933401,0,-0.601439815
15th week,Maharashtra,Yavatmal,Cholera,-0.108082526,-0.152088036,5,4,2018,20.32570375,78.11691397,-0.740362965,-1.148508752,2.32580984
18th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.105526807,-0.152088036,28,4,2018,20.32570375,78.11691397,-0.740681611,-1.148508752,3.142836399
27th week,Maharashtra,Yavatmal,Cholera,-0.109360386,-0.152088036,26,6,2018,20.32570375,78.11691397,0.227583663,0,1.157331694
29th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.094026069,-0.152088036,11,7,2018,20.32570375,78.11691397,4.232666937,0,0
43rd week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,-0.055690277,-0.152088036,28,10,2018,20.32570375,78.11691397,-0.739090762,0.160021502,0.332939092
17th week,Manipur,Chandel,Acute Diarrhoeal Disease,-0.104248947,-0.152088036,27,4,2018,24.3197442,94.02109882,-0.604401672,4.085612261,-0.130113268
47th week,Manipur,Churachandpur,Dengue,-0.022465924,-0.152088036,22,10,2011,24.378704,93.6970015,0.843325372,4.667181262,-1.053998061
43rd week,Manipur,Churachandpur,Dengue,-0.081247472,-0.152088036,24,10,2012,24.378704,93.6970015,-0.5922891,6.557280517,-1.015149704
44th week,Manipur,Churachandpur,Dengue,-0.099137508,-0.152088036,24,10,2013,24.378704,93.6970015,-0.1315981,0,-1.022717568
44th week,Manipur,Churachandpur,Dengue,-0.092748209,-0.152088036,22,8,2015,24.378704,93.6970015,1.971387444,0.886982753,0
17th week,Manipur,Churachandpur,Acute Gastroenteritis,0.181991631,0.1855301,25,4,2016,24.378704,93.6970015,-0.433066077,4.667181262,-0.872974763
28th week,Manipur,Churachandpur,Dengue,-0.081247472,-0.152088036,4,5,2017,24.378704,93.6970015,-0.532335833,6.121103766,-0.475308745
30th week,Manipur,Churachandpur,Dengue,-0.076136033,0.1855301,4,5,2017,24.378704,93.6970015,-0.532335833,6.121103766,-0.475308745
41st week,Manipur,East Imphal West Imphal,Dengue,-0.073580313,-0.152088036,16,9,2016,24.8126477,93.9283673,-0.043250162,3.213258759,-0.76137399
32nd week,Manipur,Imphal East,Dengue,-0.076136033,-0.152088036,29,7,2019,24.85154025,94.00947958,0.47613213,1.032375004,-0.820907861
40th week,Manipur,Imphal East,Dengue,-0.095303929,-0.152088036,1,10,2019,24.85154025,94.00947958,0.006779145,2.050120756,-0.988914434
39th week,Manipur,Imphal West,Dengue,-0.108082526,-0.152088036,16,9,2016,24.757326,93.85847858,-0.043250162,3.213258759,-0.76137399
40th week,Manipur,Imphal West,Dengue,-0.09019249,-0.152088036,16,9,2016,24.757326,93.85847858,-0.043250162,3.213258759,-0.76137399
35th week,Manipur,Imphal West,Dengue,0.09637503,-0.152088036,4,6,2017,24.757326,93.85847858,1.51651565,2.486297507,0
46th week,Manipur,Manipur,Dengue,-0.059523856,0.1855301,16,9,2016,24.8314984,93.91257672,-0.043250162,3.213258759,-0.76137399
7th week,Manipur,Tamenglong,Acute Diarrhoeal Disease,-0.106804666,0.523148237,6,2,2011,24.9354013,93.56791112,-0.72581575,5.248750264,-1.724006245
20th week,Manipur,Tamenglong,Acute Diarrhoeal Disease,-0.074858173,-0.152088036,1,4,2014,24.9354013,93.56791112,-0.610863242,5.975711516,-0.601439815
20th week,Manipur,Tengnoupal,Acute Diarrhoeal Disease,-0.08763677,-0.152088036,11,5,2017,24.31392145,94.23756082,-0.438656694,5.394142514,-0.538878799
4th week,Manipur,Thoubal,Acute Diarrhoeal Disease,0.130877242,-0.152088036,28,1,2016,24.624587,94.04247928,-0.66720668,1.759336255,-1.914211905
15th week,Meghalaya,East Garo Hills,Acute Diarrhoeal Disease,-0.082525331,-0.152088036,9,4,2021,25.61849455,90.63421622,-0.411748931,2.340905257,-0.47833589
38th week,Meghalaya,East Garo Hills,Dengue,-0.109360386,-0.152088036,16,9,2021,25.61849455,90.63421622,0.123738964,2.340905257,-0.563600497
1st week,Meghalaya,East Jaintia Hills,Acute Diarrhoeal Disease,0.091263591,-0.152088036,2,1,2022,25.25157605,92.48405007,-0.708148088,3.431347134,-1.966177882
3rd week,Meghalaya,East Khasi Hills,Acute Diarrhoeal Disease,-0.022465924,-0.152088036,18,1,2012,25.40237355,91.83254097,-0.710646407,1.759336255,-2.335994162
7th week,Meghalaya,East Khasi Hills,Acute Diarrhoeal Disease,-0.04418954,-0.152088036,4,2,2019,25.40237355,91.83254097,-0.555357479,2.340905257,-1.681121705
5th week,Meghalaya,East Khasi Hills,Acute Diarrhoeal Disease,-0.106804666,0.523148237,27,1,2021,25.40237355,91.83254097,-0.715221699,2.050120756,-1.998971978
14th week,Meghalaya,East Khasi Hills,Acute Diarrhoeal Disease,-0.102971087,-0.152088036,5,4,2021,25.40237355,91.83254097,0.652287011,1.759336255,-0.780344112
49th week,Meghalaya,Jaintia Hills,Malaria,-0.035244522,-0.152088036,13,11,2015,25.5,92.25,-0.716035974,3.213258759,-1.436427427
23rd week,Meghalaya,Jaintia Hills,Acute Diarrhoeal Disease,-0.074858173,-0.152088036,21,5,2016,25.5,92.25,4.241426019,3.067866509,-1.09789167
5th week,Meghalaya,Jaintia Hills,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,24,1,2019,25.5,92.25,-0.73608025,0,-1.738637468
40th week,Meghalaya,RI-Bhoi (Nongpoh),Acute Diarrhoeal Disease,-0.09147035,-0.152088036,17,9,2019,25.9181941,91.87606603,2.648550673,1.904728506,-1.20131915
30th week,Meghalaya,Ri Bhoi,Malaria,-0.092748209,2.21123892,16,7,2013,25.87640255,91.85675742,1.291430532,0.596198253,-1.161461725
12th week,Meghalaya,Ri Bhoi,Acute Diarrhoeal Disease,-0.072302454,-0.152088036,22,3,2021,25.87640255,91.85675742,-0.730410909,0,-0.670559627
37th week,Meghalaya,Ri Bhoi,Acute Diarrhoeal Disease,-0.074858173,-0.152088036,18,9,2021,25.87640255,91.85675742,0.635472503,1.177767254,-0.425562664
5th week,Meghalaya,South Garo Hills,Acute Diarrhoeal Disease,-0.094026069,-0.152088036,7,1,2021,25.347969,90.56577726,-0.74070581,3.79482776,-1.711897663
34th week,Meghalaya,West Garo Hills,Dengue,-0.032688802,-0.152088036,11,8,2016,25.60631425,90.21139055,-0.242994089,0,0
33rd week,Meghalaya,West Garo Hills,Dengue,0.04781636,-0.152088036,7,6,2017,25.60631425,90.21139055,1.046265279,3.358651009,-0.722525634
33rd week,Meghalaya,West Garo Hills,Chikungunya,-0.071024594,-0.152088036,22,6,2017,25.60631425,90.21139055,1.090858472,2.050120756,-1.007077306
7th week,Meghalaya,West Garo Hills,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,6,2,2019,25.60631425,90.21139055,-0.740706771,1.613944005,-1.424823379
36th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,-0.074858173,-0.152088036,1,9,2015,25.4425965,92.29882747,4.040749464,0.014629251,0
48th week,Meghalaya,West Jaintia Hills,Malaria,-0.035244522,-0.152088036,13,11,2015,25.4425965,92.29882747,-0.716035974,3.213258759,-1.436427427
20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,-0.036522381,-0.152088036,1,5,2022,25.4425965,92.29882747,0.41398247,0,-0.615667399
20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,0.027370605,-0.152088036,12,5,2022,25.4425965,92.29882747,1.055042331,0.886982753,-0.379953663
24th week,Meghalaya,West Khasi Hills,Acute Diarrhoeal Disease,0.107875767,0.860766373,15,5,2014,25.58173695,91.28910306,0.36442521,2.777082008,-0.414261332
9th week,Meghalaya,West Khasi Hills,Acute Diarrhoeal Disease,0.366003431,1.19838451,29,1,2015,25.58173695,91.28910306,-0.736049162,1.613944005,-1.808766318
4th week,Meghalaya,West Khasi Hills,Acute Diarrhoeal Disease,0.024814885,-0.152088036,14,1,2019,25.58173695,91.28910306,-0.691423635,1.613944005,-1.968195989
45th week,Meghalaya,West Khasi Hills,Acute Diarrhoeal Disease,-0.104248947,-0.152088036,30,10,2019,25.58173695,91.28910306,3.278349796,4.085612261,-1.270943495
27th week,Meghalaya,West Khasi Hills,Acute Diarrhoeal Disease,-0.108082526,1.19838451,1,7,2020,25.58173695,91.28910306,5.156835024,-0.712332001,0
11th week,Meghalaya,West Khasi Hills,Acute Diarrhoeal Disease,-0.065913155,-0.152088036,12,3,2021,25.58173695,91.28910306,-0.29041576,1.759336255,-1.063079497
46th week,Mizoram,Aizawl,Dengue,0.066984256,-0.152088036,29,10,2016,23.7435236,92.7382905,-0.20038867,6.702672767,-0.933517672
44th week,Mizoram,Aizawl East,Dengue,-0.0454674,-0.152088036,30,10,2019,23.7435236,92.7382905,-0.15249227,6.557280517,-1.128919911
35th week,Mizoram,Aizawl West,Dengue,-0.051856698,-0.152088036,30,8,2016,23.7435236,92.7382905,0.178332316,2.340905257,-0.572681934
46th week,Mizoram,Aizawl West,Dengue,-0.108082526,-0.152088036,7,11,2016,23.7435236,92.7382905,1.060646586,0,-0.698813004
48th week,Mizoram,Aizawl West,Dengue,-0.092748209,-0.152088036,2,12,2021,23.7435236,92.7382905,-0.740675201,0,-1.328963763
23rd week,Mizoram,Champhai,Acute Diarrhoeal Disease,0.127043663,-0.152088036,30,5,2015,23.6317319,93.34931854,-0.465056559,3.79482776,-1.073674507
51st week,Mizoram,Kolasib,Dengue,-0.064635295,-0.152088036,16,12,2016,24.18947525,92.71331813,-0.740109001,7.429634019,-1.494447725
23rd week,Mizoram,Lunglei,Acute Diarrhoeal Disease,-0.060801716,-0.152088036,4,6,2012,22.898553,92.75192292,4.908703503,4.521789012,0.11750723
32nd week,Mizoram,Lunglei,Acute Diarrhoeal Disease,-0.068468875,-0.152088036,9,8,2013,22.898553,92.75192292,0.674229061,2.340905257,-1.085783088
44th week,Mizoram,Serchhip,Acute Gastroenteritis,-0.101693227,-0.152088036,30,10,2017,23.3858923,92.93059891,-0.234116339,7.138849518,-1.175083879
53rd week,Mizoram,Serchhip,Acute Diarrhoeal Disease,-0.067191015,-0.152088036,26,12,2020,23.3858923,92.93059891,-0.740653246,0,-1.75074605
42nd week,Nagaland,Dimapur,Dengue,-0.092748209,0.1855301,14,10,2015,25.911744,93.721703,-0.037386098,4.812573513,-0.655928434
45th week,Nagaland,Dimapur,Dengue,0.058039238,-0.152088036,9,11,2016,25.911744,93.721703,-0.020093646,4.085612261,-1.120595261
42nd week,Nagaland,Dimapur,Dengue,-0.110638245,-0.152088036,9,10,2017,25.911744,93.721703,-0.027206721,3.64943551,-0.62817959
29th week,Nagaland,Dimapur,Dengue,-0.102971087,-0.152088036,10,7,2018,25.911744,93.721703,0.742492722,2.340905257,-0.626161513
26th week,Nagaland,Kiphire,Malaria,-0.106804666,-0.152088036,26,6,2017,25.81551155,94.841664,0.9122387,0,-1.688185034
11th week,Nagaland,Kohima,Acute Diarrhoeal Disease,-0.073580313,-0.152088036,6,3,2016,25.75,94.166667,-0.136560895,2.195513006,-1.370637476
43rd week,Nagaland,Kohima,Dengue,-0.110638245,-0.152088036,23,8,2019,25.75,94.166667,-0.336928974,5.830319265,-1.001779802
31st week,Nagaland,Mokokchung,Malaria,0.045260641,2.886475193,4,5,2009,26.4795861,94.51052755,-0.143618506,1.177767254,-0.363808897
41st week,Nagaland,Mokokchung,Dengue,-0.111916105,-0.152088036,12,10,2018,26.4795861,94.51052755,-0.357852933,2.631689758,-0.751283515
42nd week,Nagaland,mon,Malaria,-0.109360386,-0.152088036,25,10,2017,26.75,94.833333,0.818602667,2.195513006,-0.754310661
44th week,Nagaland,mon,Malaria,-0.109360386,-0.152088036,28,10,2020,26.75,94.833333,1.509175127,3.358651009,-0.779536863
13th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.094026069,-0.152088036,19,3,2012,20.8382426,85.0973949,-0.739110596,-0.130762999,0.563103041
29th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.04163382,-0.152088036,19,7,2012,20.8382426,85.0973949,0.441184917,0,-0.357754606
21st week,Odisha,Angul,Acute Diarrhoeal Disease,-0.099137508,-0.152088036,20,5,2015,20.8382426,85.0973949,-0.309915302,0.305413752,0.463106347
24th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,17,6,2015,20.8382426,85.0973949,0.444919402,0,0
5th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.099137508,-0.152088036,3,2,2016,20.8382426,85.0973949,-0.736627919,-0.27615525,-0.283589543
10th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.094026069,-0.152088036,1,3,2016,20.8382426,85.0973949,0.090910554,-0.4215475,-0.463704697
10th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.076136033,-0.152088036,2,3,2016,20.8382426,85.0973949,-0.190453777,-0.4215475,-0.463704697
9th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.094026069,-0.152088036,3,3,2016,20.8382426,85.0973949,-0.292593704,-0.4215475,-0.399125604
13th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,31,3,2016,20.8382426,85.0973949,-0.684647641,0.160021502,0.541812128
20th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.09147035,-0.152088036,16,5,2016,20.8382426,85.0973949,-0.624820403,0,1.052289747
22nd week,Odisha,Angul,Acute Diarrhoeal Disease,-0.064635295,-0.152088036,2,6,2016,20.8382426,85.0973949,-0.672673553,0.450806002,0.410131301
24th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.092748209,0.523148237,12,6,2016,20.8382426,85.0973949,0.068436686,0.450806002,0.473953608
28th week,Odisha,Angul,Acute Diarrhoeal Disease,0.107875767,-0.152088036,16,7,2016,20.8382426,85.0973949,0.543261906,-0.4215475,-3.033751189
30th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.078691752,-0.152088036,29,7,2016,20.8382426,85.0973949,0.922221217,1.613944005,-1.729051498
46th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,15,11,2016,20.8382426,85.0973949,-0.740384988,0,-0.529696468
8th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.100415368,0.1855301,20,2,2017,20.8382426,85.0973949,-0.740310164,-0.4215475,0.035774303
6th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,6,2,2019,20.8382426,85.0973949,-0.740670874,0.014629251,-0.739174934
24th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.102971087,0.1855301,11,6,2019,20.8382426,85.0973949,-0.09117199,0.886982753,-0.04192244
28th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,6,7,2019,20.8382426,85.0973949,3.656271976,-0.857724251,-2.646276571
45th week,Odisha,Angul,Acute Diarrhoeal Disease,-0.072302454,-0.152088036,4,11,2019,20.8382426,85.0973949,-0.680775634,1.759336255,-0.56844393
25th week,Odisha,Balangir,Acute Diarrhoeal Disease,-0.08763677,-0.152088036,19,6,2013,20.74978325,83.44097217,-0.069034586,-0.27615525,0.541307594
42nd week,Odisha,Balangir,Cholera,-0.062079576,0.1855301,6,10,2014,20.74978325,83.44097217,-0.67196865,1.759336255,-0.12224269
19th week,Odisha,Balangir,Acute Diarrhoeal Disease,-0.09147035,-0.152088036,3,5,2019,20.74978325,83.44097217,-0.706232605,-0.4215475,1.442791511
37th week,Odisha,Balangir,Acute Diarrhoeal Disease,-0.032688802,-0.152088036,7,9,2019,20.74978325,83.44097217,3.983876336,-0.27615525,0
38th week,Odisha,Balangir,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,19,9,2019,20.74978325,83.44097217,-0.370262605,1.177767254,-0.596142311
36th week,Odisha,Balasore,Acute Diarrhoeal Disease,0.005646989,0.1855301,22,8,2009,21.5002888,86.9202627,0.009281102,-0.712332001,-0.21547877
41st week,Odisha,Balasore,Acute Diarrhoeal Disease,-0.074858173,0.860766373,16,9,2009,21.5002888,86.9202627,-0.541940981,0.450806002,-0.369358654
44th week,Odisha,Balasore,Acute Diarrhoeal Disease,-0.004575888,-0.152088036,29,10,2011,21.5002888,86.9202627,-0.722179626,0.741590503,-0.409821508
29th week,Odisha,Balasore,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,14,7,2012,21.5002888,86.9202627,0.736552141,-0.130762999,-0.11558297
26th week,Odisha,Balasore,Acute Diarrhoeal Disease,-0.09147035,-0.152088036,23,6,2014,21.5002888,86.9202627,2.089287035,-1.003116501,0.650284831
48th week,Odisha,Balasore,Acute Diarrhoeal Disease,-0.100415368,-0.152088036,24,11,2015,21.5002888,86.9202627,-0.74038512,0,-0.266940243
27th week,Odisha,Balasore,Cholera,-0.04418954,1.19838451,6,7,2016,21.5002888,86.9202627,0.655919793,-0.857724251,-0.957129406
30th week,Odisha,Balasore,Cholera,-0.097859648,-0.152088036,27,7,2016,21.5002888,86.9202627,0.89681165,0,0
33rd week,Odisha,Balasore,Acute Diarrhoeal Disease,-0.09019249,-0.152088036,14,8,2019,21.5002888,86.9202627,0.32071972,-0.56693975,-0.047976731
33rd week,Odisha,Balasore,Acute Diarrhoeal Disease,-0.09147035,-0.152088036,16,8,2019,21.5002888,86.9202627,0.341905021,-0.56693975,-0.064121497
34th week,Odisha,Balasore,Acute Diarrhoeal Disease,-0.102971087,-0.152088036,18,8,2019,21.5002888,86.9202627,1.70842998,-0.56693975,-0.251804515
34th week,Odisha,Balasore,Acute Diarrhoeal Disease,-0.100415368,-0.152088036,20,8,2019,21.5002888,86.9202627,7.599426552,0,-0.577222652
48th week,Odisha,Balasore,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,20,11,2019,21.5002888,86.9202627,-0.740672797,0.596198253,-0.660973686
37th week,Odisha,Balasore,Acute Diarrhoeal Disease,-0.105526807,-0.152088036,10,9,2020,21.5002888,86.9202627,0.111096688,1.032375004,-0.469153559
38th week,Odisha,Baleswar,Dengue,0.282942549,-0.152088036,18,9,2012,21.4717211,86.8909571,0.864814248,0.305413752,-0.790636406
31st week,Odisha,Bargarh,Acute Diarrhoeal Disease,-0.016076626,1.19838451,24,7,2009,21.3477634,83.65768299,7.742833998,-0.27615525,-0.536356188
37th week,Odisha,Bargarh,Acute Diarrhoeal Disease,0.038871342,0.523148237,1,9,2009,21.3477634,83.65768299,0.098873116,0.450806002,-0.439487534
40th week,Odisha,Bargarh,Acute Diarrhoeal Disease,-0.048023119,0.523148237,25,9,2009,21.3477634,83.65768299,-0.427037024,0.886982753,-0.486408288
45th week,Odisha,Bargarh,Acute Diarrhoeal Disease,0.037593483,-0.152088036,6,11,2009,21.3477634,83.65768299,-0.722558741,1.032375004,-0.472281599
46th week,Odisha,Bargarh,Acute Diarrhoeal Disease,0.037593483,-0.152088036,6,11,2009,21.3477634,83.65768299,-0.722558741,1.032375004,-0.472281599
48th week,Odisha,Bargarh,Acute Diarrhoeal Disease,-0.007131608,-0.152088036,7,11,2009,21.3477634,83.65768299,-0.713384546,1.032375004,-0.41173869
39th week,Odisha,Bargarh,Acute Diarrhoeal Disease,-0.099137508,-0.152088036,24,9,2013,21.3477634,83.65768299,0.218687425,0.741590503,-0.540392372
39th week,Odisha,Bargarh,Acute Diarrhoeal Disease,-0.09147035,-0.152088036,26,9,2013,21.3477634,83.65768299,-0.429652801,0.741590503,-0.513652597
36th week,Odisha,Bargarh,Acute Diarrhoeal Disease,-0.105526807,0.1855301,4,9,2015,21.3477634,83.65768299,0.151567489,1.032375004,-0.672577734
37th week,Odisha,Bargarh,Acute Diarrhoeal Disease,-0.08891463,-0.152088036,13,9,2015,21.3477634,83.65768299,-0.347743837,0,-0.116592008
49th week,Odisha,Bargarh,Acute Diarrhoeal Disease,-0.09147035,-0.152088036,30,11,2015,21.3477634,83.65768299,-0.740629689,0.741590503,-0.35533289
38th week,Odisha,Bargarh,Acute Diarrhoeal Disease,-0.039078101,-0.152088036,23,9,2016,21.3477634,83.65768299,-0.365133199,0.741590503,-0.864498756
46th week,Odisha,Bargarh,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,21,11,2021,21.3477634,83.65768299,-0.653677296,1.032375004,-0.639279134
18th week,Odisha,Berhampur,Acute Diarrhoeal Disease,-0.083803191,-0.152088036,1,5,2012,21.49308515,86.63272983,0.019370892,0.596198253,0.114480085
29th week,Odisha,Berhampur,Cholera,-0.083803191,0.1855301,15,7,2012,21.49308515,86.63272983,1.726980792,0.160021502,-0.713444197
25th week,Odisha,Bhadrak,Acute Diarrhoeal Disease,-0.086358911,-0.152088036,18,6,2016,21.0633288,86.5053731,-0.194228042,-0.130762999,0
30th week,Odisha,Bhadrak,Acute Gastroenteritis,-0.08891463,-0.152088036,27,7,2016,21.0633288,86.5053731,1.199942015,0,0
45th week,Odisha,Bhadrak,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,9,11,2018,21.0633288,86.5053731,-0.637255529,0,-0.243933937
39th week,Odisha,Bhadrak,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,29,9,2019,21.0633288,86.5053731,1.526032641,0,-0.590844806
27th week,Odisha,Bhubaneshwar,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,15,4,2011,20.2602964,85.8394521,-0.687631995,0,0.848865572
27th week,Odisha,Bhubaneshwar,Acute Diarrhoeal Disease,-0.086358911,-0.152088036,23,6,2011,20.2602964,85.8394521,0.781636862,-0.130762999,-0.042931479
37th week,Odisha,Bolangir,Malaria,0.357058413,0.523148237,8,9,2009,20.7502257,83.2499464,0.387589305,1.032375004,-0.454623261
44th week,Odisha,Bolangir,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,24,10,2009,20.7502257,83.2499464,-0.740675842,0,-0.018108886
47th week,Odisha,Bolangir,Acute Diarrhoeal Disease,-0.019910205,-0.152088036,12,11,2009,20.7502257,83.2499464,-0.487101667,0.160021502,0.038801448
30th week,Odisha,Bolangir,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,25,7,2011,20.7502257,83.2499464,0.493516654,-0.130762999,-0.372890334
35th week,Odisha,Bolangir,Acute Diarrhoeal Disease,-0.086358911,-0.152088036,29,8,2016,20.7502257,83.2499464,-0.172828401,1.177767254,-0.294184552
7th week,Odisha,Bolangir,Acute Diarrhoeal Disease,-0.082525331,-0.152088036,13,2,2017,20.7502257,83.2499464,-0.740702605,-0.56693975,0.125579628
21st week,Odisha,Bolangir,Acute Diarrhoeal Disease,-0.08891463,-0.152088036,21,5,2017,20.7502257,83.2499464,-0.679077677,-0.712332001,2.123495629
22nd week,Odisha,Bolangir,Acute Diarrhoeal Disease,-0.106804666,0.1855301,27,5,2017,20.7502257,83.2499464,-0.690341962,-0.56693975,2.069511515
31st week,Odisha,Bolangir,Acute Gastroenteritis,-0.09147035,-0.152088036,30,8,2018,20.7502257,83.2499464,0.823787218,-0.27615525,0
29th week,Odisha,Bolangir,Acute Diarrhoeal Disease,-0.074858173,-0.152088036,16,7,2019,20.7502257,83.2499464,-0.099821244,0.450806002,-0.091365806
36th week,Odisha,Bolangir,Acute Diarrhoeal Disease,-0.030133083,-0.152088036,28,8,2019,20.7502257,83.2499464,0.352066638,0,-0.539383334
36th week,Odisha,Bolangir,Acute Diarrhoeal Disease,-0.08891463,-0.152088036,28,8,2019,20.7502257,83.2499464,0.352066638,0,-0.539383334
20th week,Odisha,Bolangir,Acute Diarrhoeal Disease,-0.046745259,-0.152088036,14,5,2020,20.7502257,83.2499464,-0.724066791,0.014629251,0.83736242
5th week,Odisha,Bolangir,Chikungunya,-0.106804666,-0.152088036,30,1,2021,20.7502257,83.2499464,-0.726648152,-0.27615525,-0.31537457
